04:15:55,neutral,0.5005000000000001
04:15:56,neutral,0.47850000000000004
04:15:56,neutral,0.40700000000000003
04:15:56,happy,1.1384999999999998
04:15:57,happy,1.15
04:15:57,neutral,0.462
04:15:58,neutral,0.48400000000000004
04:15:58,neutral,0.44550000000000006
04:15:59,neutral,0.5115000000000001
04:15:59,neutral,0.44550000000000006
04:16:00,neutral,0.4565
04:16:00,neutral,0.42900000000000005
04:16:01,neutral,0.36850000000000005
04:16:01,neutral,0.42350000000000004
04:16:02,neutral,0.44550000000000006
04:16:02,neutral,0.47850000000000004
04:16:02,neutral,0.49500000000000005
04:16:03,neutral,0.462
04:16:03,neutral,0.385
04:16:04,neutral,0.5115000000000001
04:16:04,neutral,0.5060000000000001
04:16:05,neutral,0.44000000000000006
04:42:22,sad,0.504
04:42:23,neutral,1.2
04:42:23,sad,1.2
04:42:24,happy,1.2
04:42:24,happy,1.2
04:42:25,happy,1.104
04:42:26,happy,0.42
04:42:26,sad,0.444
04:42:43,sad,0.444
04:42:44,neutral,1.164
04:42:45,happy,1.2
04:42:45,happy,1.2
04:42:46,happy,1.188
04:42:46,happy,1.188
04:42:47,happy,1.188
04:42:48,happy,1.2
04:42:48,happy,1.056
04:42:50,happy,0.564
04:42:52,neutral,0.852
04:42:53,neutral,1.128
04:42:53,neutral,1.2
04:42:54,happy,1.2
04:42:54,happy,1.188
12:43:57,happy,1.152
12:43:58,happy,1.116
12:43:58,happy,1.188
12:43:59,happy,1.188
12:43:59,happy,0.84
12:44:00,happy,1.188
12:45:31,sad,0.636
12:45:32,sad,0.612
12:45:32,sad,0.66
12:45:33,sad,0.54
12:45:33,sad,0.576
12:45:33,sad,0.45599999999999996
12:45:34,sad,0.636
12:45:34,sad,0.672
12:45:34,sad,0.564
12:45:35,sad,0.42
12:45:35,sad,0.368
12:45:36,sad,0.5635
12:45:36,angry,0.48299999999999993
12:45:36,angry,0.396
12:45:37,happy,1.188
12:45:37,happy,0.576
12:45:37,happy,1.068
12:45:38,happy,1.164
12:45:38,happy,1.068
12:45:38,happy,0.8160000000000001
12:45:38,happy,1.068
12:45:39,happy,0.40249999999999997
12:45:39,happy,0.396
12:45:40,sad,0.36
12:45:41,sad,0.46799999999999997
12:45:42,neutral,0.384
12:45:43,neutral,0.708
12:45:43,neutral,1.164
12:45:43,happy,1.188
12:45:44,happy,1.2
12:45:44,happy,1.2
12:45:45,happy,1.188
12:45:45,happy,1.188
12:45:45,happy,1.176
12:45:45,happy,0.384
12:45:46,happy,0.768
12:45:46,happy,0.48
12:45:47,sad,0.45999999999999996
12:45:48,sad,0.42
12:45:48,sad,0.5864999999999999
12:45:48,sad,0.384
12:45:49,angry,0.40249999999999997
